Model,div,energy,loo,loo_se,p_loo,treedepth,warning
Linear; 3 Predictors Uninformative,False,True,330.12607038754436,1193.251564932329,1216.707604836999,True,1
"Linear; 3 Predictors Weakly Informative, Normal",True,True,414.2756193229327,1201.6173538918017,1270.207832331725,True,1
"Linear; 5 Predictors Weakly Informative, Normal",True,True,568.0406516769355,1219.729016530961,1318.1505821328044,True,1
"Non-Linear; 5 Predictors Weakly Informative inter 1, Normal",True,True,1692.0469134941263,1611.7796738767097,1805.2223134758622,True,1
"Non-Linear; 5 Predictors Weakly Informative inter 2, Normal",True,True,3072.952117073124,1970.4994542755462,2411.39640152948,True,1
"Non-Linear; 5 Predictors Weakly Informative squared, Normal",True,True,2255.6972799079294,1633.00487997226,2001.6788759852611,True,1
"Non-Linear; 5 Predictors Weakly Informative squared inter, Normal",True,True,3231.7413952144707,1890.5457660692896,2446.7776664009907,True,1
"Non-Linear; 5 Predictors Weakly Informative cubic, Normal",True,True,7528.847211020497,3188.44496901756,4436.048235021284,True,1
