,loo,ploo,dloo,weight,se,dse,warning
"Non-Linear; 5 Predictors Weakly Informative inter 2, Normal ",-53.65660094749983,10.78774752058104,0.0,0.5318833985736785,8.07489866007537,0.0,1
"Linear; 3 Predictors Weakly Informative, Normal ",-47.71010618704323,6.907030844253228,5.946494760456602,0.4307850670516543,13.477069480130307,10.25935657863075,1
"Non-Linear; 5 Predictors Weakly Informative inter 1, Normal ",-47.07321162269675,9.922505965026264,6.583389324803077,0.0,12.337674387850372,8.653839826156576,1
Linear; 3 Predictors Uninformative ,-46.9021766616147,7.378590591411509,6.754424285885117,0.0,14.090307355763233,10.749218929055985,1
"Non-Linear; 5 Predictors Weakly Informative squared inter, Normal ",-45.21442296881086,14.734379853782944,8.442177978688973,3.196709453398004e-15,7.772988217556996,3.5675559233603047,1
"Linear; 5 Predictors Weakly Informative, Normal ",-44.44795465457677,9.582242742782576,9.208646292923053,0.0,16.643005487284743,12.903299257844147,1
"Non-Linear; 5 Predictors Weakly Informative cubic, Normal ",-44.22086678903665,19.015270314636282,9.435734158463177,0.03733153437468255,5.026210962356908,6.857854652256533,1
"Non-Linear; 5 Predictors Weakly Informative squared, Normal ",-40.463159867938046,13.491481609458042,13.193441079561794,0.0,10.578316891443396,7.782163714160469,1
