,loo,ploo,dloo,weight,se,dse,warning,Predictors,type,Interaction terms,Squared terms,Cubic terms,k>0.7
"Non-Linear; 5 Predictors Weakly Informative inter 2, Normal ",-53.46501607125583,10.999714813008843,0.0,0.4014201257777687,8.360274419925918,0.0,1,5,Non-linear,4,False,False,3.0
"Non-Linear; 5 Predictors Weakly Informative inter 1, Normal ",-47.09280791158688,9.9725289510268,6.372208159668938,1.787343816280851e-14,12.470337420040584,7.917120745773826,1,5,Non-linear,2,False,False,3.0
Linear; 3 Predictors Uninformative ,-46.78974404006533,7.472757195653269,6.675272031190497,0.4148769442543683,14.399817763462417,10.281427129484683,1,3,Linear,0,False,False,1.0
"Linear; 3 Predictors Weakly Informative, Normal ",-46.59529163140684,7.459724440961743,6.869724439848982,1.5094114492832322e-13,14.463720864934425,10.421126463300567,1,3,Linear,0,False,False,1.0
"Non-Linear; 5 Predictors Weakly Informative squared inter, Normal ",-46.23037557420519,14.226960700886035,7.234640497050632,3.458336532333573e-16,7.160623380965022,3.282590467617714,1,5,Non-linear,4,True,False,8.0
"Non-Linear; 5 Predictors Weakly Informative cubic, Normal ",-45.8097684412033,18.317032361203083,7.655247630052521,0.16427878618419522,4.883081777671589,7.706043625388647,1,5,Non-linear,4,True,True,14.0
"Linear; 5 Predictors Weakly Informative, Normal ",-43.532013866009265,10.090499654825678,9.93300220524656,0.019424143783555965,17.53649913414343,12.994560619876951,1,5,Linear,0,False,False,1.0
"Non-Linear; 5 Predictors Weakly Informative squared, Normal ",-39.47616163390139,13.941789467840028,13.988854437354423,0.0,11.408435612651237,7.854735898779676,1,5,Non-linear,2,True,False,7.0
