,name,streams,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
44,Young Dumb & Broke,117700876,0.199,0.798,202547.0,0.539,1.66e-05,1.0,0.165,-6.351,1.0,0.0421,136.949,4.0,0.394
45,Everybody Dies In Their Nightmares,115974234,0.847,0.734,95467.0,0.57,2.14e-05,7.0,0.112,-7.066,0.0,0.133,129.953,4.0,0.689
46,Bank Account,112620840,0.0151,0.884,220307.0,0.346,7.04e-06,8.0,0.0871,-8.228,0.0,0.351,75.016,4.0,0.376
47,I'm Upset,112221659,0.0172,0.628,207974.0,0.723,0.348,1.0,0.0984,-9.618,1.0,0.451,109.991,4.0,0.58
48,goosebumps,111658445,0.0847,0.841,243837.0,0.728,0.0,7.0,0.149,-3.37,1.0,0.0484,130.049,4.0,0.43
49,rockstar,111601971,0.117,0.587,218147.0,0.535,6.56e-05,5.0,0.131,-6.09,0.0,0.0898,159.847,4.0,0.14
50,Red Roses (feat. Landon Cube),111160376,0.547,0.691,262544.0,0.683,0.0,0.0,0.221,-7.335,1.0,0.0954,140.002,4.0,0.456
51,LOVE. FEAT. ZACARI.,109702315,0.264,0.8,213400.0,0.585,0.0,10.0,0.153,-7.343,1.0,0.0924,126.058,4.0,0.779
52,BUTTERFLY EFFECT,108769260,0.0531,0.763,190557.0,0.628,0.0,11.0,0.114,-5.85,1.0,0.05,140.958,4.0,0.193
53,Let You Down,108445240,0.298,0.656,212120.0,0.721,0.0,5.0,0.173,-5.665,0.0,0.122,148.066,4.0,0.468
54,Eastside (with Halsey & Khalid),108365830,0.555,0.56,173800.0,0.68,0.0,6.0,0.116,-7.648,0.0,0.321,89.391,4.0,0.319
55,Heaven,106379526,0.857,0.552,191787.0,0.371,0.0,7.0,0.0838,-9.104,0.0,0.0359,199.843,3.0,0.245
56,Roll In Peace (feat. XXXTENTACION),106374637,0.0306,0.747,213132.0,0.524,0.0,10.0,0.2,-6.807,0.0,0.245,140.053,4.0,0.363
57,Betrayed,105832491,0.434,0.821,187173.0,0.434,0.0,10.0,0.128,-9.194,0.0,0.118,120.012,4.0,0.241
58,No Limit,104921327,0.0117,0.838,245387.0,0.771,0.0,1.0,0.0853,-3.791,1.0,0.244,175.957,4.0,0.405
59,Location,104605873,0.33,0.736,219080.0,0.449,0.000162,1.0,0.0898,-11.462,0.0,0.425,80.126,4.0,0.326
60,lovely (with Khalid),104314174,0.934,0.351,200186.0,0.296,0.0,4.0,0.095,-10.109,0.0,0.0333,115.284,4.0,0.12
61,Ball For Me (feat. Nicki Minaj),102679573,0.493,0.792,206267.0,0.56,0.0,9.0,0.0849,-4.125,1.0,0.225,134.044,4.0,0.505
62,Freaky Friday (feat. Chris Brown),101419543,0.147,0.755,216632.0,0.599,0.0,8.0,0.109,-5.042,1.0,0.224,133.123,4.0,0.755
63,Bartier Cardi (feat. 21 Savage),100314355,0.00111,0.908,224285.0,0.524,0.000678,1.0,0.383,-7.955,1.0,0.181,138.015,4.0,0.109
64,Plain Jane,99873049,0.0651,0.797,173600.0,0.844,0.0,11.0,0.087,-5.482,1.0,0.275,170.142,4.0,0.52
65,FRIENDS,99688074,0.205,0.626,202621.0,0.88,0.0,9.0,0.128,-2.384,0.0,0.0504,95.079,4.0,0.534
66,Happier,99629707,0.191,0.687,214290.0,0.792,0.0,5.0,0.167,-2.749,1.0,0.0452,100.015,4.0,0.671
67,This Is America,98978284,0.117,0.854,225773.0,0.463,0.0,5.0,0.354,-6.159,1.0,0.137,120.024,4.0,0.549
68,Thunder,98084785,0.00671,0.605,187147.0,0.822,0.134,0.0,0.147,-4.833,1.0,0.0438,167.997,4.0,0.288
69,Never Be the Same,97206871,0.181,0.637,226973.0,0.713,0.000637,0.0,0.137,-4.333,1.0,0.0747,129.923,4.0,0.243
70,OTW,96619288,0.183,0.652,263014.0,0.678,3.26e-05,2.0,0.106,-6.183,1.0,0.0541,72.989,4.0,0.28
71,Finesse (Remix) [feat. Cardi B],96221289,0.0185,0.704,217289.0,0.859,0.0,5.0,0.0215,-4.877,0.0,0.0996,105.115,4.0,0.926
72,God is a woman,94645425,0.0233,0.602,197547.0,0.658,6e-05,1.0,0.237,-5.934,1.0,0.0558,145.031,4.0,0.268
73,Unforgettable,94560146,0.0293,0.726,233902.0,0.769,0.0101,6.0,0.104,-5.043,1.0,0.123,97.985,4.0,0.733
74,1-800-273-8255,93906561,0.57,0.62,250173.0,0.574,0.0,5.0,0.19,-7.788,0.0,0.0479,100.021,4.0,0.352
75,Bodak Yellow,93453866,0.0659,0.926,223713.0,0.703,0.0,11.0,0.231,-6.337,0.0,0.103,125.022,4.0,0.485
76,Te Boté - Remix,92035863,0.542,0.903,417920.0,0.675,1.28e-05,11.0,0.0595,-3.445,0.0,0.214,96.507,4.0,0.442
77,Narcos,92035746,0.0146,0.936,255379.0,0.588,0.0,7.0,0.139,-6.948,0.0,0.136,124.987,4.0,0.238
78,Bounce Out With That,91896794,0.033,0.865,97344.0,0.624,0.0,8.0,0.0984,-8.224,1.0,0.103,94.94,4.0,0.396
79,MotorSport,89988378,0.0338,0.896,303077.0,0.515,0.0,2.0,0.317,-5.395,1.0,0.183,138.016,4.0,0.174
80,Praise The Lord (Da Shine),89646627,0.0609,0.85,205040.0,0.569,0.0816,5.0,0.1,-8.152,0.0,0.136,80.02,4.0,0.294
81,Pray For Me (with Kendrick Lamar),89466679,0.0762,0.735,211440.0,0.677,2.17e-05,2.0,0.111,-4.979,1.0,0.093,100.584,4.0,0.188
82,IDGAF,85889267,0.0433,0.836,218173.0,0.552,0.0,7.0,0.0773,-5.66,1.0,0.0851,97.036,4.0,0.525
83,Stay,85831678,0.345,0.836,199521.0,0.614,9.86e-05,8.0,0.088,-4.543,0.0,0.311,101.97,4.0,0.603
84,Lean Wit Me,85674917,0.0414,0.665,175755.0,0.651,0.0,1.0,0.0896,-5.515,1.0,0.156,163.935,4.0,0.237
