,name,streams,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
42,Believer,17161626,0.0622,0.776,204347.0,0.78,0.0,10.0,0.081,-4.374,0.0,0.128,124.949,4.0,0.666
43,Mask Off,17161601,0.0102,0.833,204600.0,0.434,0.0219,2.0,0.165,-8.795,1.0,0.431,150.062,4.0,0.281
44,Stay (with Alessia Cara),16879381,0.253,0.69,210091.0,0.622,0.0,5.0,0.116,-5.025,0.0,0.0622,102.04,4.0,0.544
45,Summer Air,16716001,0.0631,0.752,183587.0,0.768,0.0,8.0,0.094,-3.985,1.0,0.0804,101.973,4.0,0.418
46,There's Nothing Holdin' Me Back,16521829,0.228,0.884,202952.0,0.572,0.0,11.0,0.0743,-7.288,0.0,0.0392,122.007,4.0,0.896
47,Mi Gente,16424340,0.0168,0.548,185040.0,0.704,2.25e-05,11.0,0.143,-4.838,0.0,0.0777,104.666,4.0,0.288
48,I Feel It Coming,16367192,0.426,0.773,269187.0,0.819,0.0,0.0,0.0679,-5.946,0.0,0.118,92.99,4.0,0.585
49,Wild Thoughts,16353029,0.0329,0.671,204173.0,0.672,0.0,0.0,0.118,-3.094,0.0,0.0688,97.98,4.0,0.632
50,Happier,16086962,0.191,0.687,214290.0,0.792,0.0,5.0,0.167,-2.749,1.0,0.0452,100.015,4.0,0.671
51,Friday Night,15827677,0.00125,0.649,230747.0,0.815,4.31e-05,3.0,0.671,-3.796,0.0,0.0415,126.03,4.0,0.765
52,You Don't Know Me - Radio Edit,15647688,0.163,0.877,213947.0,0.658,0.0,11.0,0.108,-6.055,0.0,0.132,123.999,4.0,0.693
53,XO TOUR Llif3,15082855,0.00264,0.732,182707.0,0.75,0.0,11.0,0.109,-6.366,0.0,0.231,155.096,4.0,0.401
54,I Love You,14965771,0.687,0.492,251034.0,0.275,0.0,6.0,0.101,-13.4,0.0,0.3,92.6,4.0,0.18
55,Only You,14887176,0.0829,0.607,189401.0,0.74,0.0,4.0,0.105,-4.793,0.0,0.172,108.05,4.0,0.219
56,Let You Down,14882858,0.298,0.656,212120.0,0.721,0.0,5.0,0.173,-5.665,0.0,0.122,148.066,4.0,0.468
57,SUBEME LA RADIO,14769374,0.0744,0.684,208163.0,0.823,0.0,9.0,0.111,-3.297,0.0,0.0773,91.048,4.0,0.647
58,Gift,14573674,0.927,0.119,158575.0,0.103,0.946,1.0,0.103,-21.268,1.0,0.0411,75.626,4.0,0.109
59,5 fine frøkner,14343257,0.134,0.777,216347.0,0.746,2.09e-05,5.0,0.0951,-5.6,0.0,0.048,119.994,4.0,0.381
60,Gråzon,14331893,0.00606,0.57,167933.0,0.93,0.00381,8.0,0.102,-3.14,1.0,0.0477,163.751,4.0,0.925
61,I Can´t Go On,14263400,0.0332,0.73,183991.0,0.674,1.38e-06,4.0,0.146,-5.022,0.0,0.0481,108.992,4.0,0.458
62,Rich Love (with Seeb),14077597,0.167,0.401,201257.0,0.872,0.0,1.0,0.362,-3.641,0.0,0.314,104.592,4.0,0.472
63,HUMBLE.,14003369,0.000282,0.908,177000.0,0.621,5.39e-05,1.0,0.0958,-6.638,0.0,0.102,150.011,4.0,0.421
64,My Addiction,13957901,0.457,0.47,250440.0,0.719,0.0409,5.0,0.146,-8.394,0.0,0.0408,105.095,4.0,0.38
65,Havana,13767669,0.184,0.765,217307.0,0.523,3.56e-05,2.0,0.132,-4.333,1.0,0.03,104.988,4.0,0.394
66,Friends (with BloodPop®),13335648,0.00402,0.743,189467.0,0.733,0.0,8.0,0.304,-5.337,1.0,0.0375,104.977,4.0,0.622
67,Stargazing,13181363,0.00947,0.487,270715.0,0.789,4.05e-06,8.0,0.189,-3.69,1.0,0.044,150.007,4.0,0.0564
68,Mandy Moore,13097811,0.0106,0.779,209710.0,0.596,0.0,6.0,0.0774,-7.194,0.0,0.193,115.006,4.0,0.559
69,What Lovers Do (feat. SZA),13070798,0.0788,0.799,199849.0,0.597,5.66e-06,5.0,0.1,-5.131,0.0,0.0611,110.001,4.0,0.419
70,All Night,12850996,0.159,0.746,259493.0,0.507,0.000134,1.0,0.029,-15.121,1.0,0.0453,108.833,4.0,0.861
71,Congratulations,12797184,0.215,0.63,220293.0,0.804,0.0,6.0,0.253,-4.183,1.0,0.0363,123.146,4.0,0.492
72,Strip That Down,12173807,0.22,0.874,204502.0,0.497,0.0,6.0,0.0761,-5.484,1.0,0.0562,106.023,4.0,0.542
73,Starboy,11972673,0.141,0.678,230453.0,0.588,6.35e-06,7.0,0.137,-7.015,1.0,0.276,186.005,4.0,0.486
74,It's Gotta Be You,11959027,0.0149,0.688,179027.0,0.68,0.0012,8.0,0.07,-7.031,1.0,0.0534,100.004,4.0,0.885
75,Feels,11900995,0.0642,0.893,223413.0,0.745,0.0,11.0,0.0943,-3.105,0.0,0.0571,101.018,4.0,0.872
76,Alone,11850226,0.118,0.659,183750.0,0.738,0.0,4.0,0.115,-5.072,0.0,0.0477,127.95,4.0,0.481
77,Glorious (feat. Skylar Grey),11723679,0.0323,0.731,220454.0,0.794,2.59e-05,0.0,0.112,-5.126,0.0,0.0522,139.994,4.0,0.356
