,name,streams,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
43,Mama,5121651,0.102,0.737,184134.0,0.792,0.0,11.0,0.0532,-4.117,0.0,0.0416,104.012,4.0,0.543
44,2U (feat. Justin Bieber),5079396,0.219,0.548,194897.0,0.65,0.0,8.0,0.225,-5.827,0.0,0.0591,144.937,4.0,0.557
45,Despacito (Featuring Daddy Yankee),5040701,0.208,0.659,228200.0,0.802,0.0,2.0,0.123,-4.79,1.0,0.148,177.936,4.0,0.863
46,Vielä kerran (feat. Tommi Läntinen),5036868,0.115,0.707,176790.0,0.827,0.0,1.0,0.256,-4.444,0.0,0.151,127.996,4.0,0.606
47,XO TOUR Llif3,5015654,0.00264,0.732,182707.0,0.75,0.0,11.0,0.109,-6.366,0.0,0.231,155.096,4.0,0.401
48,Kelpaat kelle vaan (Vain elämää kausi 7) [feat. Apocalyptica],5003479,0.0139,0.372,203160.0,0.398,0.0237,4.0,0.0684,-8.975,0.0,0.033,88.32,4.0,0.237
49,Galway Girl,4950372,0.0735,0.624,170827.0,0.876,0.0,9.0,0.327,-3.374,1.0,0.1,99.943,4.0,0.781
50,Sinuhe,4930755,0.174,0.593,257416.0,0.912,0.0,11.0,0.132,-3.992,0.0,0.255,96.418,4.0,0.3
51,Kumiankka,4896414,0.0331,0.721,227646.0,0.84,0.0,8.0,0.244,-3.234,1.0,0.039,124.053,4.0,0.387
52,Jokainen kyynel,4849358,0.0911,0.669,214610.0,0.821,0.0,5.0,0.138,-5.929,0.0,0.0523,102.026,4.0,0.403
53,Keinu (Vain elämää kausi 7),4801980,0.273,0.655,180975.0,0.746,0.0,6.0,0.0756,-6.355,0.0,0.0396,144.979,4.0,0.482
54,Mixet Tahdo,4798190,0.232,0.849,197555.0,0.699,0.0,1.0,0.0498,-6.385,1.0,0.075,104.99,4.0,0.511
55,EYO (feat. Nelli Matula),4782147,,,,,,,,,,,,,
56,"Kynnet, Kynnet",4765166,0.656,0.671,245280.0,0.812,9.26e-05,0.0,0.137,-7.082,1.0,0.112,99.998,4.0,0.281
57,California Dreaming (feat. Snoop Dogg & Paul Rey),4739729,0.533,0.737,198525.0,0.743,1.1e-06,0.0,0.147,-6.281,0.0,0.0818,100.038,4.0,0.276
58,HUMBLE.,4713959,0.000282,0.908,177000.0,0.621,5.39e-05,1.0,0.0958,-6.638,0.0,0.102,150.011,4.0,0.421
59,Paris,4633719,0.0243,0.646,221520.0,0.644,0.0,2.0,0.0888,-6.763,1.0,0.031,99.999,4.0,0.251
60,Satamiljoonaa Kertaa,4629752,0.0639,0.808,214375.0,0.738,0.0,5.0,0.299,-4.097,0.0,0.0545,125.053,4.0,0.808
61,Silence,4617680,0.256,0.52,180823.0,0.761,4.96e-06,4.0,0.17,-3.093,1.0,0.0853,141.971,4.0,0.286
62,Sinä ansaitset kultaa (Vain elämää kausi 7),4560209,0.102,0.636,190560.0,0.783,0.0,5.0,0.0859,-6.406,0.0,0.0899,145.921,4.0,0.511
63,Kakkuu Järvellä,4536140,,,,,,,,,,,,,
64,Sunnuntaisin,4483907,0.182,0.645,192094.0,0.783,0.0,6.0,0.16,-5.412,1.0,0.164,91.084,4.0,0.631
65,Mi Gente,4458360,0.0168,0.548,185040.0,0.704,2.25e-05,11.0,0.143,-4.838,0.0,0.0777,104.666,4.0,0.288
66,Matti & Teppo,4411948,0.0657,0.885,151667.0,0.68,6.47e-06,2.0,0.0939,-6.049,1.0,0.157,110.974,4.0,0.624
67,Maailman Laidalla,4365783,0.0386,0.622,207357.0,0.843,0.0,8.0,0.226,-5.214,1.0,0.0434,151.996,4.0,0.458
68,Hombre (feat. Vesala),4347676,0.0767,0.648,201613.0,0.712,2.21e-06,4.0,0.128,-5.488,0.0,0.0524,123.997,4.0,0.345
69,SUBEME LA RADIO,4317266,0.0744,0.684,208163.0,0.823,0.0,9.0,0.111,-3.297,0.0,0.0773,91.048,4.0,0.647
70,Perfect,4311761,0.163,0.599,263400.0,0.448,0.0,8.0,0.106,-6.312,1.0,0.0232,95.05,3.0,0.168
71,Taivas ei oo rajana,4289919,0.0816,0.642,188872.0,0.687,0.0,5.0,0.212,-7.429,1.0,0.0248,105.998,4.0,0.398
72,Neljä Vuodenaikaa,4289106,0.085,0.914,188542.0,0.917,2.42e-06,11.0,0.335,-4.257,0.0,0.0441,132.009,4.0,0.961
73,I'm the One,4248235,0.55,0.347,201875.0,0.659,2.41e-06,5.0,0.192,-5.289,1.0,0.0717,201.044,4.0,0.648
74,Solo Dance,4216067,0.0485,0.746,174933.0,0.846,0.0,9.0,0.195,-2.432,1.0,0.048,114.955,4.0,0.403
75,Timantit on ikuisia (Vain elämää kausi 7),4209740,0.0136,0.7,201042.0,0.765,0.000199,5.0,0.109,-6.502,1.0,0.0444,107.95,4.0,0.702
76,Rakas,4208904,0.0357,0.771,210588.0,0.847,0.0,10.0,0.074,-6.137,0.0,0.184,102.059,4.0,0.757
77,Rakkaus On Lumivalkoinen - Vain Elämää Kausi 6,4196918,0.156,0.342,180717.0,0.528,0.0,6.0,0.179,-6.929,0.0,0.0415,82.695,4.0,0.399
78,Luonasi,4134383,0.284,0.617,216653.0,0.818,1.11e-06,5.0,0.277,-7.858,0.0,0.0359,136.205,4.0,0.903
79,Kymmenen Kirosanaa - Vain Elämää Kausi 6,4119400,0.0811,0.708,187727.0,0.688,0.0,10.0,0.146,-5.388,0.0,0.0478,140.026,4.0,0.752
80,You Don't Know Me - Radio Edit,4065192,0.163,0.877,213947.0,0.658,0.0,11.0,0.108,-6.055,0.0,0.132,123.999,4.0,0.693
81,Strip That Down,4051374,0.22,0.874,204502.0,0.497,0.0,6.0,0.0761,-5.484,1.0,0.0562,106.023,4.0,0.542
82,Feels,4013426,0.0642,0.893,223413.0,0.745,0.0,11.0,0.0943,-3.105,0.0,0.0571,101.018,4.0,0.872
83,Castle on the Hill,4011718,0.0232,0.461,261154.0,0.834,1.14e-05,2.0,0.14,-4.868,1.0,0.0989,135.007,4.0,0.471
84,Congratulations,3994922,0.215,0.63,220293.0,0.804,0.0,6.0,0.253,-4.183,1.0,0.0363,123.146,4.0,0.492
85,Tuesday,3901639,0.0156,0.841,241875.0,0.639,0.0654,9.0,0.0545,-6.052,0.0,0.0688,99.002,4.0,0.675
86,Pari kilometriä,3818127,0.311,0.751,209052.0,0.86,4.88e-05,8.0,0.0838,-5.134,0.0,0.0925,95.997,4.0,0.768
87,Miks Ei - Vain Elämää Kausi 6,3810076,0.00581,0.791,180645.0,0.726,0.0,11.0,0.0343,-4.351,1.0,0.0567,126.081,4.0,0.866
88,Kupla,3789374,0.196,0.775,168409.0,0.506,0.0,1.0,0.103,-8.494,1.0,0.0729,90.058,4.0,0.822
89,Let You Down,3778047,0.298,0.656,212120.0,0.721,0.0,5.0,0.173,-5.665,0.0,0.122,148.066,4.0,0.468
90,Yhtäccii,3756891,0.0161,0.79,198814.0,0.583,0.0,10.0,0.182,-7.641,0.0,0.181,105.025,4.0,0.773
91,Wild Thoughts,3751276,0.0329,0.671,204173.0,0.672,0.0,0.0,0.118,-3.094,0.0,0.0688,97.98,4.0,0.632
92,Chained To The Rhythm,3731566,0.0814,0.446,237733.0,0.8,0.0,0.0,0.199,-5.404,1.0,0.174,189.89,4.0,0.474
93,Mä En Haluu Tietää,3719622,0.0572,0.699,203061.0,0.716,1.32e-05,10.0,0.0991,-6.587,0.0,0.0358,153.993,4.0,0.645
94,Sit Mennää,3619052,0.0143,0.64,225187.0,0.911,0.0,0.0,0.378,-3.518,1.0,0.095,139.956,4.0,0.9
95,Loistat Pimeäs,3616196,0.00908,0.563,208402.0,0.785,0.0,9.0,0.25,-5.877,0.0,0.0395,135.055,4.0,0.625
96,Stay (with Alessia Cara),3603273,0.253,0.69,210091.0,0.622,0.0,5.0,0.116,-5.025,0.0,0.0622,102.04,4.0,0.544
97,Pisamat,3587457,0.0605,0.7,199181.0,0.871,0.0,1.0,0.308,-4.09,1.0,0.129,93.949,4.0,0.632
98,Turvasana,3569916,0.345,0.546,217960.0,0.67,2.35e-06,0.0,0.191,-6.945,0.0,0.0824,89.809,4.0,0.365
99,Muitaki ihmisii,3517375,0.0101,0.493,237715.0,0.784,0.00215,0.0,0.599,-5.064,1.0,0.0548,196.072,4.0,0.464
