,name,streams,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
43,Havana,12151617,0.184,0.765,217307.0,0.523,3.56e-05,2.0,0.132,-4.333,1.0,0.03,104.988,4.0,0.394
44,Shallow,12110511,0.371,0.572,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,4.0,0.323
45,Perfect Duet (Ed Sheeran & Beyoncé),12044388,0.779,0.587,259550.0,0.299,0.0,8.0,0.123,-7.365,1.0,0.0263,94.992,3.0,0.356
46,Like I Do,11882442,0.00664,0.635,202500.0,0.9,0.0145,0.0,0.37,-3.719,0.0,0.0377,127.978,4.0,0.15
47,Min Diamant,11841274,0.164,0.654,183663.0,0.68,0.0,7.0,0.0763,-7.778,1.0,0.197,114.921,4.0,0.678
48,Still - Recorded at Spotify Studios Stockholm,11798107,0.416,0.613,218153.0,0.765,0.0,1.0,0.133,-5.755,1.0,0.0584,101.868,4.0,0.452
49,IDGAF,11646470,0.0433,0.836,218173.0,0.552,0.0,7.0,0.0773,-5.66,1.0,0.0851,97.036,4.0,0.525
50,Nice For What,11552712,0.0891,0.586,210747.0,0.909,0.000109,8.0,0.119,-6.474,1.0,0.0705,93.394,4.0,0.757
51,Échame La Culpa,11419278,0.0328,0.726,173720.0,0.889,0.0,0.0,0.0925,-3.655,1.0,0.0429,96.024,4.0,0.649
52,Feel It Still,11384612,0.0417,0.801,163253.0,0.795,0.000113,1.0,0.0717,-5.115,0.0,0.0504,79.028,4.0,0.754
53,Eastside (with Halsey & Khalid),11264747,0.555,0.56,173800.0,0.68,0.0,6.0,0.116,-7.648,0.0,0.321,89.391,4.0,0.319
54,Större,11199653,0.127,0.64,209285.0,0.648,1.06e-06,8.0,0.107,-6.995,1.0,0.14,136.067,4.0,0.441
55,More Than You Know,11139966,0.0275,0.646,203000.0,0.741,0.0,5.0,0.312,-4.973,0.0,0.034,123.077,4.0,0.571
56,The Middle,11003925,0.171,0.753,184732.0,0.657,0.0,7.0,0.112,-3.061,1.0,0.0449,107.01,4.0,0.437
57,All The Stars (with SZA),10929700,0.0605,0.698,232187.0,0.633,0.000194,8.0,0.0926,-4.946,1.0,0.0597,96.924,4.0,0.552
58,Jocelyn Flores,10897018,0.469,0.872,119133.0,0.391,4.13e-06,0.0,0.297,-9.144,0.0,0.242,134.021,4.0,0.437
59,Wake Me Up - Radio Edit,10732393,0.00356,0.527,246779.0,0.74,0.00194,2.0,0.235,-7.212,1.0,0.055,124.114,4.0,0.653
60,All Falls Down (feat. Juliander),10574480,0.297,0.654,197320.0,0.656,0.0,1.0,0.403,-5.107,1.0,0.0549,98.042,4.0,0.654
61,Sand,10416531,0.593,0.725,184080.0,0.437,0.0,6.0,0.0842,-9.602,1.0,0.0575,83.985,4.0,0.759
62,Let You Down,10404830,0.298,0.656,212120.0,0.721,0.0,5.0,0.173,-5.665,0.0,0.122,148.066,4.0,0.468
63,Jackie Chan,10403336,0.374,0.747,215760.0,0.834,0.0,3.0,0.0586,-2.867,0.0,0.045,128.005,4.0,0.687
64,I Like It,10380151,0.099,0.816,253390.0,0.726,0.0,5.0,0.372,-3.998,0.0,0.129,136.048,4.0,0.65
65,Ignite (feat. SEUNGRI),10357842,,,,,,,,,,,,,
66,I Fall Apart,10348235,0.0689,0.556,223347.0,0.538,0.0,8.0,0.196,-5.408,0.0,0.0382,143.95,4.0,0.291
67,Rise,10344539,0.323,0.69,194408.0,0.784,0.0,1.0,0.203,-4.653,1.0,0.032,106.066,4.0,0.669
68,Promises (with Sam Smith),10213560,0.0119,0.781,213309.0,0.768,4.91e-06,11.0,0.325,-5.991,1.0,0.0394,123.07,4.0,0.486
69,Levels - Radio Edit,10035709,0.063,0.603,199904.0,0.887,0.74,1.0,0.292,-5.92,0.0,0.036,126.031,4.0,0.439
70,Positiv,10027143,0.751,0.774,184375.0,0.539,0.0,11.0,0.161,-12.121,0.0,0.405,95.905,4.0,0.846
71,New Rules,10012780,0.00261,0.763,212000.0,0.72,1.11e-05,9.0,0.114,-5.181,0.0,0.0691,116.01,4.0,0.592
72,rockstar (feat. 21 Savage),9945402,0.117,0.587,218147.0,0.535,6.56e-05,5.0,0.131,-6.09,0.0,0.0898,159.847,4.0,0.14
73,Love Lies (with Normani),9906215,0.0956,0.708,201707.0,0.648,0.0,6.0,0.134,-5.626,1.0,0.0449,143.955,4.0,0.338
74,Dusk Till Dawn - Radio Edit,9620321,0.101,0.258,239000.0,0.437,1.27e-06,11.0,0.106,-6.593,0.0,0.039,180.043,4.0,0.0967
75,Gudarna på Västerbron,9616516,0.202,0.72,242213.0,0.716,0.0,1.0,0.126,-5.865,0.0,0.116,90.012,4.0,0.385
76,Too Good At Goodbyes,9541168,0.652,0.698,201000.0,0.375,0.0,5.0,0.173,-8.279,1.0,0.0491,91.92,4.0,0.534
77,changes,9510828,0.883,0.669,121887.0,0.308,0.0,11.0,0.0984,-10.068,1.0,0.029,64.934,4.0,0.52
78,Silence,9280014,0.256,0.52,180823.0,0.761,4.96e-06,4.0,0.17,-3.093,1.0,0.0853,141.971,4.0,0.286
79,Auf wiedersehen,9087538,0.3,0.659,173769.0,0.778,0.0,9.0,0.0824,-5.125,1.0,0.26,78.853,4.0,0.591
80,2002,9074883,0.0372,0.697,186987.0,0.683,0.0,1.0,0.137,-2.881,0.0,0.117,96.133,4.0,0.603
81,Whenever (feat. Conor Maynard),9064753,0.151,0.734,163636.0,0.765,0.0,7.0,0.231,-5.562,1.0,0.0621,109.989,4.0,0.518
82,Put Your Hands Up för Sverige (feat. Anis Don Demina),8905573,0.126,0.653,207480.0,0.924,0.0,11.0,0.0663,-3.086,0.0,0.0623,124.998,4.0,0.625
83,Blah Blah Blah,8903283,0.00897,0.612,183519.0,0.963,0.00378,5.0,0.294,-3.912,0.0,0.0531,138.009,4.0,0.179
84,Ocean (feat. Khalid),8789047,0.584,0.506,216420.0,0.693,9.58e-05,0.0,0.0891,-7.265,0.0,0.0412,139.912,4.0,0.221
85,Love Someone,8786680,0.161,0.55,205463.0,0.415,0.0,9.0,0.108,-6.557,0.0,0.052,172.065,4.0,0.274
86,Moonlight,8714860,0.556,0.921,135090.0,0.537,0.00404,9.0,0.102,-5.723,0.0,0.0804,128.009,4.0,0.711
87,Thunder,8614479,0.00671,0.605,187147.0,0.822,0.134,0.0,0.147,-4.833,1.0,0.0438,167.997,4.0,0.288
88,Wolves,8565092,0.129,0.72,197993.0,0.807,0.0,11.0,0.183,-4.59,0.0,0.0432,124.946,4.0,0.305
89,Mine,8418133,0.889,0.393,246888.0,0.226,0.00505,4.0,0.0792,-14.949,1.0,0.0373,75.427,4.0,0.136
90,Tror Du Att Han Bryr Sig,8408812,0.0568,0.862,173333.0,0.486,7.14e-06,3.0,0.202,-7.185,0.0,0.0578,122.019,4.0,0.876
91,FEFE (feat. Nicki Minaj & Murda Beatz),8317607,0.088,0.931,179405.0,0.387,0.0,1.0,0.136,-9.127,1.0,0.412,125.978,4.0,0.376
92,Allt e mitt,8316528,0.292,0.653,194000.0,0.328,0.0,10.0,0.625,-11.977,0.0,0.517,75.963,4.0,0.798
93,Darkside,8243486,0.164,0.425,211867.0,0.642,0.0,4.0,0.118,-5.06,0.0,0.0502,170.008,4.0,0.112
94,Sick Boy,8208392,0.106,0.548,193947.0,0.687,0.0,11.0,0.131,-6.371,0.0,0.15,180.017,4.0,0.362
95,I Love It (& Lil Pump),8164188,0.0114,0.901,127947.0,0.522,0.0,2.0,0.259,-8.304,1.0,0.33,104.053,4.0,0.329
96,Despacito - Remix,7936058,0.228,0.653,228827.0,0.816,0.0,2.0,0.0967,-4.353,1.0,0.167,178.086,4.0,0.816
97,Say Love,7797430,0.118,0.752,219440.0,0.449,1.29e-06,1.0,0.354,-7.541,1.0,0.0594,84.029,4.0,0.549
98,Dreamer,7778987,0.0237,0.627,251147.0,0.847,0.0,10.0,0.212,-5.303,1.0,0.0352,126.017,4.0,0.611
99,Believer,7750900,0.0622,0.776,204347.0,0.78,0.0,10.0,0.081,-4.374,0.0,0.128,124.949,4.0,0.666
