,name,streams,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
44,Roska silmäs,3877154,0.239,0.745,178219.0,0.532,0.0,4.0,0.313,-5.612,0.0,0.0368,83.053,4.0,0.779
45,IDGAF,3850507,0.0433,0.836,218173.0,0.552,0.0,7.0,0.0773,-5.66,1.0,0.0851,97.036,4.0,0.525
46,Sweet but Psycho,3826923,0.0691,0.719,187436.0,0.704,0.0,1.0,0.166,-4.724,1.0,0.0476,133.002,4.0,0.628
47,rockstar (feat. 21 Savage),3734583,0.117,0.587,218147.0,0.535,6.56e-05,5.0,0.131,-6.09,0.0,0.0898,159.847,4.0,0.14
48,rockstar,3733603,0.117,0.587,218147.0,0.535,6.56e-05,5.0,0.131,-6.09,0.0,0.0898,159.847,4.0,0.14
49,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",3678369,0.165,0.792,201526.0,0.895,0.0,1.0,0.0501,-3.112,0.0,0.0589,94.968,4.0,0.794
50,La Cintura,3657118,0.0201,0.706,204653.0,0.845,0.0,6.0,0.358,-4.102,0.0,0.0692,100.015,4.0,0.742
51,I Like It,3646399,0.099,0.816,253390.0,0.726,0.0,5.0,0.372,-3.998,0.0,0.129,136.048,4.0,0.65
52,Mad Love,3643681,0.00575,0.815,199945.0,0.817,4.67e-06,2.0,0.171,-3.457,1.0,0.209,98.023,4.0,0.625
53,Lössi,3633533,0.162,0.883,235500.0,0.7,5.37e-06,9.0,0.113,-4.63,0.0,0.156,99.97,4.0,0.564
54,Pornoo,3605268,0.0352,0.756,225737.0,0.594,0.0,0.0,0.0715,-5.653,0.0,0.0591,123.967,4.0,0.712
55,Taste (feat. Offset),3600295,0.0236,0.884,232959.0,0.559,0.0,0.0,0.101,-7.442,1.0,0.12,97.994,4.0,0.342
56,Darkside,3594681,0.164,0.425,211867.0,0.642,0.0,4.0,0.118,-5.06,0.0,0.0502,170.008,4.0,0.112
57,Shape of You,3554009,0.581,0.825,233713.0,0.652,0.0,1.0,0.0931,-3.183,0.0,0.0802,95.977,4.0,0.931
58,Girls Like You (feat. Cardi B),3553730,0.568,0.851,235545.0,0.541,0.0,0.0,0.13,-6.825,1.0,0.0505,124.959,4.0,0.448
59,Happier,3535171,0.191,0.687,214290.0,0.792,0.0,5.0,0.167,-2.749,1.0,0.0452,100.015,4.0,0.671
60,Sit ku mä oon vapaa,3512072,0.021,0.701,238495.0,0.713,2.7e-05,6.0,0.0938,-4.082,1.0,0.0293,133.966,4.0,0.651
61,Yhen elämän juttu,3509305,0.201,0.707,217408.0,0.71,6.12e-05,8.0,0.134,-4.907,0.0,0.0715,96.003,4.0,0.624
62,Him & I (with Halsey),3502798,0.0534,0.589,268867.0,0.731,0.0,2.0,0.308,-6.343,1.0,0.0868,87.908,4.0,0.191
63,Jackie Chan,3493027,0.374,0.747,215760.0,0.834,0.0,3.0,0.0586,-2.867,0.0,0.045,128.005,4.0,0.687
64,Tornado,3440835,0.268,0.473,203747.0,0.592,0.0,7.0,0.0721,-6.215,1.0,0.0427,93.878,4.0,0.293
65,Timanttei,3440329,0.318,0.792,193256.0,0.708,0.0,3.0,0.38,-5.689,1.0,0.123,125.119,4.0,0.38
66,Naapurit Kuulee,3426695,0.0293,0.819,207735.0,0.772,0.0,1.0,0.0918,-5.699,1.0,0.0831,105.01,4.0,0.771
67,FEFE (feat. Nicki Minaj & Murda Beatz),3399896,0.088,0.931,179405.0,0.387,0.0,1.0,0.136,-9.127,1.0,0.412,125.978,4.0,0.376
68,Antaudun,3377848,0.617,0.534,196923.0,0.715,0.0,1.0,0.132,-4.556,0.0,0.279,172.083,4.0,0.661
69,Moonlight,3300241,0.556,0.921,135090.0,0.537,0.00404,9.0,0.102,-5.723,0.0,0.0804,128.009,4.0,0.711
70,Nevermind,3268823,0.156,0.592,156600.0,0.691,9.78e-06,3.0,0.418,-8.354,1.0,0.196,99.976,4.0,0.0796
71,Katumuksen sakramentti,3252043,0.0851,0.828,214734.0,0.851,0.0,1.0,0.074,-4.643,0.0,0.148,117.034,4.0,0.897
72,Jocelyn Flores,3238412,0.469,0.872,119133.0,0.391,4.13e-06,0.0,0.297,-9.144,0.0,0.242,134.021,4.0,0.437
73,Pimeyteen,3211873,0.0351,0.442,320233.0,0.714,0.0,2.0,0.123,-7.587,0.0,0.344,96.555,3.0,0.59
74,Vielä Kerran,3150852,0.0431,0.634,187240.0,0.865,0.000124,11.0,0.0432,-3.333,0.0,0.158,180.158,4.0,0.82
75,Promises (with Sam Smith),3128362,0.0119,0.781,213309.0,0.768,4.91e-06,11.0,0.325,-5.991,1.0,0.0394,123.07,4.0,0.486
76,Diamond Heart,3081914,0.129,0.499,239835.0,0.638,0.0,0.0,0.631,-6.145,1.0,0.0438,89.98,4.0,0.253
77,For You (Fifty Shades Freed) (& Rita Ora),3062862,0.0167,0.541,245453.0,0.787,0.0,2.0,0.157,-4.618,0.0,0.0331,113.0,4.0,0.2
78,So Far Away (feat. Jamie Scott & Romy Dya),3058233,0.435,0.526,183637.0,0.52,0.0,6.0,0.197,-7.985,0.0,0.0569,149.119,4.0,0.13
