,name,streams,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
49,Bad and Boujee (feat. Lil Uzi Vert),354321847,0.061,0.927,343150,0.665,0.0,11,0.123,-5.313,1,0.244,127.076,4,0.175
50,Call On Me - Ryan Riback Extended Remix,353109634,0.0604,0.67,222041,0.838,0.000611,0,0.159,-4.031,1,0.0362,104.998,4,0.717
51,What Lovers Do (feat. SZA),352072090,0.0788,0.799,199849,0.597,5.66e-06,5,0.1,-5.131,0,0.0611,110.001,4,0.419
52,iSpy (feat. Lil Yachty),350351227,0.378,0.746,253107,0.653,0.0,7,0.229,-6.745,1,0.289,75.016,4,0.672
53,One Dance,344390704,0.00842,0.796,173987,0.61,0.00286,1,0.351,-5.857,1,0.0516,103.99,4,0.391
54,Pretty Girl - Cheat Codes X CADE Remix,331162037,0.15,0.703,193613,0.868,0.132,7,0.104,-4.661,0,0.0291,121.03,4,0.733
55,Dusk Till Dawn - Radio Edit,330607696,0.101,0.258,239000,0.437,1.27e-06,11,0.106,-6.593,0,0.039,180.043,4,0.0967
56,Chantaje,329130129,0.187,0.852,195840,0.773,3.05e-05,8,0.159,-2.921,0,0.0776,102.034,4,0.907
57,Young Dumb & Broke,327573945,0.199,0.798,202547,0.539,1.66e-05,1,0.165,-6.351,1,0.0421,136.949,4,0.394
58,Redbone,327186660,0.172,0.745,326933,0.356,0.00943,1,0.123,-10.425,1,0.0941,160.033,4,0.607
59,Solo Dance,318789258,0.0485,0.746,174933,0.846,0.0,9,0.195,-2.432,1,0.048,114.955,4,0.403
60,DNA.,315706571,0.00454,0.638,185947,0.523,0.0,1,0.0842,-6.664,1,0.357,139.913,4,0.422
61,Let Me Love You,314960332,0.288,0.531,190000,0.854,0.0,10,0.0773,-3.149,1,0.198,94.419,4,0.456
62,Escápate Conmigo,313955029,0.0256,0.744,232787,0.859,6.27e-05,11,0.0881,-3.166,1,0.0795,91.977,4,0.787
63,goosebumps,308941274,0.0847,0.841,243837,0.728,0.0,7,0.149,-3.37,1,0.0484,130.049,4,0.43
64,No Promises (feat. Demi Lovato),305362970,0.0575,0.741,223504,0.667,0.0,10,0.106,-5.445,1,0.134,112.956,4,0.595
65,Bank Account,301513334,0.0151,0.884,220307,0.346,7.04e-06,8,0.0871,-8.228,0,0.351,75.016,4,0.376
66,Slow Hands,299239770,0.0139,0.726,188174,0.431,0.0,0,0.054,-6.666,1,0.0554,85.889,4,0.86
67,24K Magic,298748779,0.034,0.818,225983,0.803,0.0,1,0.153,-4.282,1,0.0797,106.97,4,0.632
68,I Like Me Better,294495681,0.535,0.752,197437,0.505,2.55e-06,9,0.104,-7.621,1,0.253,91.97,4,0.419
69,SUBEME LA RADIO,293418733,0.0744,0.684,208163,0.823,0.0,9,0.111,-3.297,0,0.0773,91.048,4,0.647
70,Fake Love,293411943,0.108,0.927,210937,0.488,0.0,9,0.196,-9.433,0,0.42,133.987,4,0.605
71,Glorious (feat. Skylar Grey),290330283,0.0323,0.731,220454,0.794,2.59e-05,0,0.112,-5.126,0,0.0522,139.994,4,0.356
72,Look What You Made Me Do,285892926,0.204,0.766,211853,0.709,1.41e-05,9,0.126,-6.471,0,0.123,128.07,4,0.506
73,Friends (with BloodPop®),280913360,0.00402,0.743,189467,0.733,0.0,8,0.304,-5.337,1,0.0375,104.977,4,0.622
74,There for You,279509235,0.124,0.611,221904,0.644,0.0,6,0.124,-7.607,0,0.0553,105.969,4,0.13
75,Sign of the Times,274012281,0.0275,0.516,340707,0.595,0.0,5,0.109,-4.63,1,0.0313,119.972,4,0.222
76,El Amante,265870556,0.243,0.683,219507,0.691,0.0,8,0.14,-5.535,1,0.0432,179.91,4,0.732
77,Your Song,260457495,0.158,0.855,180757,0.624,0.0,1,0.0513,-4.093,1,0.0488,117.959,4,0.962
78,Ahora Dice,259113055,0.249,0.704,271080,0.69,0.0,6,0.123,-5.451,1,0.16,144.045,4,0.402
79,Gucci Gang,257909914,0.239,0.936,124056,0.523,0.0,5,0.117,-6.71,1,0.0597,119.889,4,0.699
80,You Don't Know Me - Radio Edit,256308250,0.163,0.877,213947,0.658,0.0,11,0.108,-6.055,0,0.132,123.999,4,0.693
