,name,streams,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
49,Sorry Not Sorry,122909208,0.0223,0.702,203760,0.635,0.0,11,0.283,-6.917,0,0.265,144.004,4,0.873
50,Gucci Gang,120230236,0.239,0.936,124056,0.523,0.0,5,0.117,-6.71,1,0.0597,119.889,4,0.699
51,Selfish,118920181,0.114,0.638,245604,0.6,0.0,1,0.187,-5.84,0,0.0438,101.981,4,0.0399
52,Paris,118441429,0.0243,0.646,221520,0.644,0.0,2,0.0888,-6.763,1,0.031,99.999,4,0.251
53,Broccoli (feat. Lil Yachty),117737969,0.236,0.886,225205,0.525,0.0,8,0.057,-7.39,1,0.131,145.99,4,0.708
54,Strip That Down,114095640,0.22,0.874,204502,0.497,0.0,6,0.0761,-5.484,1,0.0562,106.023,4,0.542
55,Look At Me!,110756456,0.259,0.763,126346,0.726,0.0,1,0.0976,-6.405,1,0.282,139.059,4,0.349
56,I Fall Apart,109701888,0.0689,0.556,223347,0.538,0.0,8,0.196,-5.408,0,0.0382,143.95,4,0.291
57,X (feat. Future),106965611,0.373,0.835,258880,0.413,0.00133,1,0.101,-9.81,1,0.396,149.004,4,0.111
58,I Feel It Coming,105447990,0.426,0.773,269187,0.819,0.0,0,0.0679,-5.946,0,0.118,92.99,4,0.585
59,Go Flex,104894155,0.228,0.665,179613,0.498,0.0,5,0.0757,-8.185,1,0.0831,81.967,4,0.127
60,Silence,104066434,0.256,0.52,180823,0.761,4.96e-06,4,0.17,-3.093,1,0.0853,141.971,4,0.286
61,New Rules,103949426,0.00261,0.763,212000,0.72,1.11e-05,9,0.114,-5.181,0,0.0691,116.01,4,0.592
62,White Iverson,102840864,0.233,0.675,256533,0.562,0.0,7,0.0816,-7.678,1,0.0352,130.098,4,0.309
63,There's Nothing Holdin' Me Back,102755117,0.228,0.884,202952,0.572,0.0,11,0.0743,-7.288,0,0.0392,122.007,4,0.896
64,Perfect,101169273,0.163,0.599,263400,0.448,0.0,8,0.106,-6.312,1,0.0232,95.05,3,0.168
65,Now Or Never,100206940,0.107,0.67,214802,0.585,1.11e-06,6,0.131,-4.861,0,0.0354,110.03,4,0.447
66,Mi Gente,99917081,0.0168,0.548,185040,0.704,2.25e-05,11,0.143,-4.838,0,0.0777,104.666,4,0.288
67,Slow Hands,99067411,0.0139,0.726,188174,0.431,0.0,0,0.054,-6.666,1,0.0554,85.889,4,0.86
68,Love Galore,98443638,0.111,0.795,275080,0.594,0.0,0,0.162,-6.2,1,0.0747,135.002,4,0.409
69,Feel It Still,97757758,0.0417,0.801,163253,0.795,0.000113,1,0.0717,-5.115,0,0.0504,79.028,4,0.754
70,No Problem (feat. Lil Wayne & 2 Chainz),97668135,0.156,0.652,304607,0.795,0.0,11,0.123,-5.192,0,0.174,135.018,4,0.788
71,One Dance,96640713,0.00842,0.796,173987,0.61,0.00286,1,0.351,-5.857,1,0.0516,103.99,4,0.391
72,Candy Paint,95228355,0.627,0.67,227533,0.654,1.02e-06,4,0.071,-5.944,1,0.153,180.024,4,0.438
73,Despacito (Featuring Daddy Yankee),94972759,0.208,0.659,228200,0.802,0.0,2,0.123,-4.79,1,0.148,177.936,4,0.863
